iter	Logloss
0	0.5329981131
1	0.4353368861
2	0.3758729965
3	0.3451240257
4	0.3220651706
5	0.3006007734
6	0.2891198993
7	0.2782546748
8	0.2700303059
9	0.2623165796
10	0.2511826107
11	0.2463181747
12	0.2370916908
13	0.2335897983
14	0.2296780543
15	0.227560486
16	0.2254625935
17	0.2226640554
18	0.2191751044
19	0.2169855507
20	0.2145961331
21	0.2124446209
22	0.2104957381
23	0.2087147823
24	0.2067533611
25	0.2055265345
26	0.2044121775
27	0.2020090622
28	0.2008616035
29	0.1996784994
30	0.1984508225
31	0.1972755711
32	0.1956794277
33	0.1948238391
34	0.1940105887
35	0.1919120798
36	0.1910816389
37	0.1903216629
38	0.1882493212
39	0.1875014441
40	0.1864769528
41	0.1858216849
42	0.1847214798
43	0.1842316764
44	0.182566697
45	0.1819103653
46	0.1810418878
47	0.1805169339
48	0.179682833
49	0.1788817931
50	0.1783033842
51	0.1778009638
52	0.1772291673
53	0.1768126122
54	0.1761221754
55	0.1755165201
56	0.1747835555
57	0.1740629874
58	0.1735218801
59	0.1730231407
60	0.1727013945
61	0.1722344643
62	0.1716808438
63	0.1714062807
64	0.1708784929
65	0.1704949262
66	0.1702994177
67	0.1701041637
68	0.1694949231
69	0.1690565086
70	0.1685476806
71	0.1680864517
72	0.1676464574
73	0.1670813026
74	0.1666340254
75	0.1664059254
76	0.1659098804
77	0.1655216626
78	0.16524796
79	0.16504032
80	0.1644734051
81	0.1641139038
82	0.1637608164
83	0.1635408333
84	0.162601682
85	0.1623572588
86	0.1618229669
87	0.1616244396
88	0.1611640692
89	0.1609592999
90	0.1605943745
91	0.1604022505
92	0.1601664539
93	0.1597031393
94	0.1592927312
95	0.1590459841
96	0.1586228258
97	0.158322039
98	0.1579479181
99	0.1576420668
100	0.157504723
101	0.1572609369
102	0.1571168459
103	0.1569212601
104	0.1566966528
105	0.1564467283
106	0.1562339797
107	0.1561169197
108	0.1558960183
109	0.155636026
110	0.1554148639
111	0.1551764116
112	0.1550063727
113	0.1548400947
114	0.154610537
115	0.154408287
116	0.1542046169
117	0.1540429439
118	0.1538115526
119	0.1534723619
120	0.1533177589
121	0.1531712788
122	0.1529960349
123	0.1529025012
124	0.1526329876
125	0.1524551189
126	0.1523235475
127	0.1521493432
128	0.1520225502
129	0.1518571579
130	0.1516781975
131	0.1514431105
132	0.151350839
133	0.1510771334
134	0.150904563
135	0.150650974
136	0.1505039371
137	0.1502757911
138	0.1501755935
139	0.150026003
140	0.1498989048
141	0.1496975898
142	0.1494550077
143	0.1493168997
144	0.1492424117
145	0.1489963074
146	0.148903787
147	0.1487872099
148	0.1486595311
149	0.1485238775
150	0.1484373753
151	0.1483414242
152	0.148204427
153	0.1480785908
154	0.1479704539
155	0.1478120529
156	0.1476777975
157	0.1475266753
158	0.147454227
159	0.147368464
160	0.1472659705
161	0.147097909
162	0.1469208624
163	0.1467154444
164	0.1466186077
165	0.146448785
166	0.1462493956
167	0.1461516494
168	0.1460066269
169	0.1459121809
170	0.145816975
171	0.1456784581
172	0.145573922
173	0.1454840633
174	0.1453226629
175	0.1452007935
176	0.1451256509
177	0.1450302495
178	0.1449419402
179	0.1447761094
180	0.1446630503
181	0.1445486092
182	0.1444355901
183	0.1441993714
184	0.1441324629
185	0.1440518072
186	0.1439807913
187	0.1438591677
188	0.1437948854
189	0.1437451429
190	0.1436579193
191	0.1435892746
192	0.1434503652
193	0.1433758032
194	0.1432708168
195	0.1431825949
196	0.1430503954
197	0.1429705942
198	0.1428617092
199	0.1427716906
200	0.1426952993
201	0.1426251884
202	0.1425651054
203	0.1423194685
204	0.1422639921
205	0.1421607802
206	0.1419898245
207	0.1418981499
208	0.1417644766
209	0.1416735945
210	0.141599025
211	0.1414590091
212	0.1413613489
213	0.1413086172
214	0.1412244435
215	0.1411827603
216	0.1410815791
217	0.1408976493
218	0.1408446363
219	0.1406984925
220	0.1406382777
221	0.1405580366
222	0.140373218
223	0.1403169773
224	0.1402707363
225	0.1402208915
226	0.1401329866
227	0.14005982
